censusVersion,repository,headSha,path,coordinateKind,coordinateId,line,engine,excerptSha256,family,intendedOwner,disposition,measurement,cause,generatedBy,notes
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/FUNDING.yml,file,file:.github/FUNDING.yml,1,actions-yaml,3f6296febc6d696ff76125d83a131d0de787627346cbe158a6a06d508ccd6bec,other,FT1 adjudication,reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/dependabot.yml,file,file:.github/dependabot.yml,1,actions-yaml,edd21521f937b049d60d74f357d5fded2b28b43b4f02e79acb67a610f526004b,other,FT1 adjudication,reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/metadata.yaml,file,file:.github/metadata.yaml,1,actions-yaml,b71c2910b6dd8f493715413447288a4dc8d406d4c5892848e11555e4089b6bba,other,FT1 adjudication,reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,file,file:.github/workflows/activation-baseline-sweep.yml,1,actions-yaml,20e974ee0aceaafad48ce444171c5dc0c338d0c5a950a62ebe8aeb20f188b096,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,expression,expr:.github/workflows/activation-baseline-sweep.yml:0,29,actions-expression,e14c01566eab6ac42ceedd9a2f11a947599f683b5debdedb70a79182b2f53bb4,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,expression,expr:.github/workflows/activation-baseline-sweep.yml:1,31,actions-expression,f424fdb168c9c50996f67cb01084cce612883cf518689979a1586c4aea252f35,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,expression,expr:.github/workflows/activation-baseline-sweep.yml:2,71,actions-expression,b0b4874b09a9966ca23ae6277bda8db457125060fc4715580b586668f86e91dd,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,expression,expr:.github/workflows/activation-baseline-sweep.yml:3,72,actions-expression,0652e1d07991046215de282722f4d304b5bef9141e897d5f00413d7ffaf73ee2,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,uses-edge,uses:.github/workflows/activation-baseline-sweep.yml:0,38,actions-yaml,66f7a65eb62ee2d070b1775d0f6a6daee19b1bcaa4487e4d1d82ac949d085abd,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,step-security/harden-runner@bf7454d06d71f1098171f2acdf0cd4708d7b5920
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,run-block,run:.github/workflows/activation-baseline-sweep.yml:0,44,shell,60a5c78f7fd0e034723b9c412b378082fb6b2de05f29a9e48e5f4e8237bccaf3,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:0:1,46,shell,00e13ed7af55b27622f1d6eab5bec0147e68efe28dc2b12461117afa1a5ed40e,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,work
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:0:3,48,shell,427e4b79b1f0fc90306cbe064b1297b21dc6835bfa656d3bf46bc156e3f24bb0,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,curl
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:0:6,51,shell,f21a4654f95f0a78a4583e2f6e02c128b9d6695596c051cc10ae59253f36f2d9,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,manifest_digest
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:0:12,57,shell,faefbbbf05cb9cfb18112dde743b3eb327b5b26426f4206583a2fb4cb9cc344d,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,grep
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:0:17,62,shell,1e142e6277b12b7e1110478a24caee8f006a9349e86970c890203d6266209463,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,install
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:0:18,63,shell,1e142e6277b12b7e1110478a24caee8f006a9349e86970c890203d6266209463,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,install
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:0:19,64,shell,e44b4bd707c540bca8615b21f850fb41e02029701df241d179c1a5f3acbf5bf1,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,cp
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,run-block,run:.github/workflows/activation-baseline-sweep.yml:1,73,shell,0e7e44d55c94825a44a03e39cf5b5bf444f5986aa34c2fac81d7fee3887f9245,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:1,75,shell,21a3230e03772a58aff1b3709a9e232850916337e1fba95c434076b6668c6e08,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,workspace
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:2,76,shell,9a881b9b9f23849475296a8cd768ea1965bc3152df7118e60c145975af6aa58a,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,git
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:3,77,shell,d297734f1756dcbd0072a52806d08ae535608a6f8f1e3f53e2299683b6e9c307,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,workspace_sha
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:4,78,shell,b11a85b296a90afc460430434a504e7acb04b064575b7277724688af0e59d189,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,inventory
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:5,79,shell,c84d384f2a25cca2a8fde5eb61b0f81f728e5f778a232211b176ea80143877bc,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,jq
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:7,81,shell,04d588cb41b8022d1233924f0fe8280d9e2bb92cdc81658eb102ef9c42fc9452,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,smoke
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:11,85,shell,16592bc53a716a79685eb8b2ef5f7093e3adb58a8e2b6257cbb8e557f4da1bee,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,selected_roots
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:13,87,shell,16592bc53a716a79685eb8b2ef5f7093e3adb58a8e2b6257cbb8e557f4da1bee,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,selected_roots
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:16,90,shell,6f32860910ca0fb2a20c7fda143666b09dbf8db5238195c90a586fb542ff0cad,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,receipt
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:17,91,shell,fe14010b4fe83303852f0467c919ef9a7ca089b91e96e3aad7d426dd87079297,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,ledger
1,swift-institute/.github,e401daed52ce5a34dbc9c873365fed5a48bc622b,.github/workflows/activation-baseline-sweep.yml,command-reference,cmd:.github/workflows/activation-baseline-sweep.yml:1:19,93,shell,9e38fe9364a05cbc322132ba9930aa550accfea4128a4bede5fc53a72ad2d6e7,central-workflow,named Swift owners (F2-F16),reduce,MEASURED,,census-generator.py,manifest_json
